id,SERP,URLs,URLs_cleaned
12,https://www.google.com/finance?sca_esv=eab902f88a49963b&output=search&q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&source=lnms&fbs=AEQNm0CbCVgAZ5mWEJDg6aoPVcBgWizR0-0aFOH11Sb5tlNhd_12NSqGX3LSL1mbZSRYtS-wcvp6zwj_87wyh4_7w3RJ-eaLDGruEyoj7GHr8TBMFHqc54PQSEQOT4tQNhcuIjZ-HYz-CB1_U90K5eEii4M7M9gJ8y_CUVyZ2sYCTM5TA3cgUv761pYuEZZjd7_0Xw-2fwv0LKVCPzIVaBfbS9OADusNMg&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQ0pQJegQIXRAB,None,None
13,https://www.google.com/search?sca_esv=eab902f88a49963b&q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana+abierto+ahora&uds=ADvngMjcH0KdF7qGWtwTBrP0nt7dYLjvhwppYrfTf-b17pvItu94tblS5LDZPNnV3IWHucI5NPgmNFkWN3jT1xQ_R8x7LqBYNcPFxDIEvOFG3FiYMpefG6iV9EkPHGeqUCW8V6k5x7vhala8gOV-UK5yWZbS6UjNkeYH8we-RT-aKoce7gQRTS08qW_f3k1toqvqiaNiFoa2VYFpwGYtCm9y_qyDF1EgXZDwR0aiF0XpAYjO-KrGvNE&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQxKsJegQIFRAB&ictx=0,None,None
14,https://www.google.com/search?sca_esv=eab902f88a49963b&q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana+mejor+valorados&uds=ADvngMjcH0KdF7qGWtwTBrP0nt7dGwt0cZX7Zw1LOK4oEGgrJwSgNglv1g0ImGJ7V0moddH8_mBy6qCDHaqvs4Z6u68Wlc-d9zSmOeaQE-Q2h19KuYRaJrBUmvYR5EcAfFOUYP-mHTvPWnOJ6cb13A6vAdwWb_9Vs3jCebgVC4W1VU5ti7c_qNnJ8p3TU-0PPCCn9eGaTAhSiJKitlEqxwQjeHKBomeKH1EgunuddEIenHPQ-nYxPcA&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQxKsJegQIFhAB&ictx=0,None,None
15,https://www.google.com/search?sca_esv=eab902f88a49963b&q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana+acceso+para+sillas+de+ruedas&uds=ADvngMjcH0KdF7qGWtwTBrP0nt7dvnILEqGP7ZWVnpX3xTBkwvIiMpqnz3x2h7uoofY8BtodmvS4vLfDQHLqQx-_KSjkvb-ZfhjXe2F7ocSsSOMg_Lpfw5FQ6fFhaMavtdqBp8GxPaMY681cChy8pvhHRtDXS5T77x_VibHa29ss-_2t3upDgNwj4d6Bk4gmsTFBBUIwPjCztfr4vBt7v5HT94hbo0xv4mNLJGh4vszOfyIBOAsaWP4IntGP3Jtg354J9fLvEdyGe4FzANMrpdSm1JyLzHpXYcy-56FScI1IwxS-QIZfxFo0lPUiOqvkCD-JXnvzjRz0afE3EXA86W3wDnLR-9AEiQ&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQxKsJegQIFxAB&ictx=0,None,None
16,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&source=lnt&tbs=lr:lang_1es&lr=lang_es&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQpwV6BAgFEAc,None,None
17,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&source=lnt&tbs=qdr:h&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQpwV6BAgFEAw,None,None
18,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&source=lnt&tbs=qdr:d&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQpwV6BAgFEA0,None,None
19,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&source=lnt&tbs=qdr:w&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQpwV6BAgFEA4,None,None
20,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&source=lnt&tbs=qdr:m&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQpwV6BAgFEA8,None,None
21,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&source=lnt&tbs=qdr:y&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQpwV6BAgFEBA,None,None
22,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&source=lnt&tbs=li:1&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQpwV6BAgFEBg,None,None
23,https://www.google.com/advanced_search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&iflsig=AL9hbdgAAAAAZwwolvYndT-_nTt8RdcjySpREnNJil0c&uact=5&gs_lp=Egdnd3Mtd2l6IjN2ZW50YSBkZSBwbGFudGFzIHZpdmVyb3MgZW4gbGEgQ29tdW5pZGFkIFZhbGVuY2lhbmFImBBQAFiYDnAAeACQAQCYAcEBoAHDBaoBAzAuNLgBA8gBAPgBAZgCAKACAJgDAJIHAKAH_SM,None,None
24,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&source=hp&ei=hhoMZ8bYOqeskdUPneuu4AE&iflsig=AL9hbdgAAAAAZwwolvYndT-_nTt8RdcjySpREnNJil0c&ved=0ahUKEwjGs5f-hoyJAxUnVqQEHZ21CxwQ4dUDCA8&uact=5&oq=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&gs_lp=Egdnd3Mtd2l6IjN2ZW50YSBkZSBwbGFudGFzIHZpdmVyb3MgZW4gbGEgQ29tdW5pZGFkIFZhbGVuY2lhbmFImBBQAFiYDnAAeACQAQCYAcEBoAHDBaoBAzAuNLgBA8gBAPgBAZgCAKACAJgDAJIHAKAH_SM&sclient=gws-wiz#,None,None
25,https://www.google.com/setprefs?sig=0_s8xPje8JxL2e-Kllq9toYLSoY-I%3D&source=en_ignored_notification&prev=https://www.google.com/search?q%3Dventa%2Bde%2Bplantas%2Bviveros%2Ben%2Bla%2BComunidad%2BValenciana%26sca_esv%3Deab902f88a49963b%26source%3Dhp%26ei%3DhhoMZ8bYOqeskdUPneuu4AE%26iflsig%3DAL9hbdgAAAAAZwwolvYndT-_nTt8RdcjySpREnNJil0c%26ved%3D0ahUKEwjGs5f-hoyJAxUnVqQEHZ21CxwQ4dUDCA8%26uact%3D5%26oq%3Dventa%2Bde%2Bplantas%2Bviveros%2Ben%2Bla%2BComunidad%2BValenciana%26gs_lp%3DEgdnd3Mtd2l6IjN2ZW50YSBkZSBwbGFudGFzIHZpdmVyb3MgZW4gbGEgQ29tdW5pZGFkIFZhbGVuY2lhbmFImBBQAFiYDnAAeACQAQCYAcEBoAHDBaoBAzAuNLgBA8gBAPgBAZgCAKACAJgDAJIHAKAH_SM%26sclient%3Dgws-wiz&hl=en&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQhoQCKAF6BAgKEAQ,None,None
